Phase Info [04-011-5899] Hydrotalcite ● Mg0.67Al0.33(CO3)0.165(OH)2(H2...
Name: Hydrotalcite, syn
Formula: Mg0.67Al0.33(CO3)0.165(OH)2(H2O)0.48

Powder Pattern (QM(I): Indexed, Calculated)
Radiation: CuKα1
λ: 1.5406 Å
Filter: 
Calibration: 
2θ: 149.292°
Lines: 59
RIR: 2.37
Reference: Costantino U., Marmottini F., Nocchetti M., Vivani R., Eur. J. Inorg. Chem. p1439,1446 (1998)

Unit Cell Data (Powder Diffraction)
Crystal System: Hexagonal
S.G: R-3m (166)
Z: 3
P.S: hR7.1
Lattice Constants: 3.0454, 3.0454, 22.7010 (Å) <90.00°, 90.00°, 120.00°>
Volume: 182.33
Density: 2.124
Mwt: 77.75
F(30): 999.9 (0.0001,34/0)
Reference: Costantino U., Marmottini F., Nocchetti M., Vivani R., Eur. J. Inorg. Chem. p1439,1446 (1998)

ANX: AB6X18. LPF Collection Code: 1520481. Sample Preparation: STARTING MATERIALS: hydroxycarbonate Al,hydroxycarbonate Mg. COMPOUND PREPARATION: dissolved in few drops of concentrated HCl, diluted with water. Calculated Pattern Original Remarks: LPF Editor Comment: short interatomic distances for partly occupied sites. Minor Warning: Minor warning from the LPF Editor exist. Only profile R factor reported/abstracted. Wyckoff Sequence: h c4 a. LPF Prototype Structure: ( Mg0.67 Al0.33 ) ( C O3 )0.17 ( O H )2 ( H2 O )0.5,hR33,166

#	Angle	d(Å)	I%(f)	( h k l)	θ(°)	1/(2d)	2π/d
1	11.6853	7.56700	100.0	( 0 0 3)	5.8426	0.06608	0.83034
2	23.4943	3.78350	39.2	( 0 0 6)	11.7472	0.13215	1.66068
3	34.1995	2.61973	1.2	( 1 0 1)	17.0997	0.19086	2.39841
4	34.8974	2.56892	28.1	( 0 1 2)	17.4487	0.19463	2.44585
5	35.5633	2.52233	1.8	( 0 0 9)	17.7816	0.19823	2.49102
6	37.5762	2.39171	0.1	( 1 0 4)	18.7881	0.20906	2.62707
7	39.4825	2.28051	25.6	( 0 1 5)	19.7413	0.21925	2.75517
8	46.9992	1.93181	30.0	( 0 1 8)	23.4996	0.25882	3.25249
9	48.0564	1.89175	0.7	(0,0,12)	24.0282	0.26431	3.32136
10	53.1938	1.72052	6.6	(1,0,10)	26.5969	0.29061	3.65191
11	56.5815	1.62528	4.9	(0,1,11)	28.2908	0.30764	3.86591
12	60.7797	1.52268	8.8	( 1 1 0)	30.3899	0.32837	4.12640
13	62.1319	1.49275	9.5	( 1 1 3)	31.0659	0.33495	4.20913
14	63.8824	1.45600	3.5	(1,0,13)	31.9412	0.34341	4.31538
15	66.0923	1.41257	3.1	( 1 1 6)	33.0462	0.35396	4.44805
16	67.7876	1.38131	1.9	(0,1,14)	33.8938	0.36198	4.54872
17	71.6238	1.31646	0.3	( 0 2 1)	35.8119	0.37981	4.77279
18	72.0403	1.30987	1.0	( 2 0 2)	36.0202	0.38172	4.79680
19	72.4441	1.30356	0.2	( 1 1 9)	36.2221	0.38357	4.82002
20	74.9311	1.26634	2.7	( 2 0 5)	37.4656	0.39484	4.96169
21	75.2916	1.26117	0.8	(0,0,18)	37.6458	0.39646	4.98203
22	76.1209	1.24948	3.6	(1,0,16)	38.0604	0.40017	5.02864
23	78.1871	1.22155	0.3	( 0 2 7)	39.0935	0.40932	5.14362
24	80.2017	1.19586	2.0	( 2 0 8)	40.1008	0.41811	5.25412
25	80.9923	1.18617	0.1	(1,1,12)	40.4961	0.42152	5.29704
26	84.9927	1.14026	0.5	(0,2,10)	42.4964	0.43850	5.51031
27	87.7695	1.11120	1.2	(2,0,11)	43.8848	0.44996	5.65442
28	90.1097	1.08832	0.7	(1,0,19)	45.0549	0.45942	5.77329
29	90.8899	1.08100	0.2	(0,0,21)	45.4449	0.46253	5.81238
